date,gold,silver,sma7_gold,sma20_gold,sma30_gold,ema12_gold,ema26_gold,macd_gold,macd_signal_gold,macd_hist_gold,rsi14_gold,boll_sma20_gold,boll_upper_gold,boll_lower_gold,sma7_silver,sma20_silver,sma30_silver,ema12_silver,ema26_silver,macd_silver,macd_signal_silver,macd_hist_silver,rsi14_silver,boll_sma20_silver,boll_upper_silver,boll_lower_silver
26/05/2025,8950,111,,,,8950.0,8950.0,0.0,0.0,0.0,,,,,,,,111.0,111.0,0.0,0.0,0.0,,,,
27/05/2025,8995,111,,,,8956.92,8953.33,3.59,0.72,2.87,,,,,,,,111.0,111.0,0.0,0.0,0.0,,,,
28/05/2025,8935,111,,,,8953.55,8951.98,1.57,0.89,0.69,,,,,,,,111.0,111.0,0.0,0.0,0.0,,,,
29/05/2025,8895,111,,,,8944.54,8947.75,-3.21,0.07,-3.28,,,,,,,,111.0,111.0,0.0,0.0,0.0,,,,
30/05/2025,8920,111,,,,8940.77,8945.7,-4.93,-0.93,-4.0,,,,,,,,111.0,111.0,0.0,0.0,0.0,,,,
31/05/2025,8920,111,,,,8937.57,8943.8,-6.22,-1.99,-4.23,,,,,,,,111.0,111.0,0.0,0.0,0.0,,,,
02/06/2025,8950,111,8937.86,,,8939.48,8944.25,-4.77,-2.55,-2.23,,,,,111.0,,,111.0,111.0,0.0,0.0,0.0,,,,
03/06/2025,9080,113,8956.43,,,8961.1,8954.31,6.79,-0.68,7.47,,,,,111.29,,,111.31,111.15,0.16,0.03,0.13,,,,
04/06/2025,9090,114,8970.0,,,8980.93,8964.36,16.57,2.77,13.8,,,,,111.71,,,111.72,111.36,0.36,0.1,0.26,,,,
05/06/2025,9130,114,8997.86,,,9003.87,8976.63,27.23,7.66,19.57,,,,,112.14,,,112.07,111.55,0.52,0.18,0.34,,,,
06/06/2025,9130,114,9031.43,,,9023.27,8987.99,35.28,13.19,22.09,,,,,112.57,,,112.37,111.74,0.63,0.27,0.36,,,,
07/06/2025,8980,117,9040.0,,,9016.61,8987.4,29.21,16.39,12.82,,,,,113.43,,,113.08,112.13,0.96,0.41,0.55,,,,
09/06/2025,8955,118,9045.0,,,9007.13,8985.0,22.14,17.54,4.59,,,,,114.43,,,113.84,112.56,1.28,0.58,0.69,,,,
10/06/2025,8945,119,9044.29,,,8997.58,8982.04,15.54,17.14,-1.6,,,,,115.57,,,114.63,113.04,1.59,0.78,0.81,,,,
11/06/2025,9020,119,9035.71,,,9001.03,8984.85,16.18,16.95,-0.77,55.47,,,,116.43,,,115.3,113.48,1.82,0.99,0.83,100.0,,,
12/06/2025,9100,119,9037.14,,,9016.25,8993.38,22.87,18.13,4.74,57.78,,,,117.14,,,115.87,113.89,1.98,1.19,0.79,100.0,,,
13/06/2025,9295,120,9060.71,,,9059.14,9015.72,43.42,23.19,20.23,72.22,,,,118.0,,,116.51,114.34,2.17,1.39,0.78,100.0,,,
14/06/2025,9320,120,9087.86,,,9099.27,9038.26,61.01,30.75,30.26,76.73,,,,118.86,,,117.05,114.76,2.28,1.57,0.72,100.0,,,
16/06/2025,9305,120,9134.29,,,9130.92,9058.02,72.9,39.18,33.72,74.52,9049.75,,,119.29,,,117.5,115.15,2.35,1.72,0.63,100.0,114.85,,
17/06/2025,9200,120,9169.29,9055.75,,9141.55,9068.54,73.01,45.95,27.06,65.73,9062.25,9330.1,8781.4,119.57,115.2,,117.88,115.51,2.38,1.85,0.52,100.0,115.3,122.87,107.53
18/06/2025,9250,122,9212.86,9070.75,,9158.23,9081.98,76.26,52.01,24.25,66.48,9075.0,9353.43,8788.07,120.0,115.75,,118.52,115.99,2.53,1.99,0.54,100.0,115.85,123.72,107.78
19/06/2025,9265,122,9247.86,9084.25,,9174.66,9095.53,79.12,57.43,21.69,61.64,9091.5,9377.3,8791.2,120.43,116.3,,119.05,116.43,2.62,2.11,0.5,100.0,116.4,124.41,108.19
